Calculating time of sequentially reading 100000 512-byte blocks and checking each block for JPEG signature.
Start time, Finish time (in process timer ticks):
-------------
231254,299610

Calculating time of 1000 random block accesses. For each block a LIBLINEAR test for JPEG data is included into the timing.
Distance jumped (+/-), start time, finish time (in process timer ticks):
27339728,126283445,126557379
16462098,126557401,126730033
-28017299,126730051,126762364
24312453,126762403,127014447
-25210669,127014469,127044607
-34827528,127044631,127083826
23103683,127083847,127318063
10459882,127318104,127430517
-30176078,127430539,127465840
51589565,127465863,127979215
-52628327,127979254,128035584
49985947,128035593,128524024
10082084,128524041,128631839
-14314432,128631862,128651843
732973,128651864,128665748
-44555854,128665770,128714856
59031943,128714880,129302939
-23802273,129302961,129331948
-27489938,129331970,129364177
6165052,129364198,129427708
42868029,129427726,129904226
