Calculating time of sequentially reading 100000 512-byte blocks and checking each block for JPEG signature.
Start time, Finish time (in process timer ticks):
------------------
210352,279323

Calculating time of 1000 random block accesses. For each block a LIBLINEAR test for JPEG data is included into the timing.
Distance jumped (+/-), start time, finish time (in process timer ticks):
-24959235,96598863,96628860
32671106,96628867,96950012
-15888853,96950084,96977020
20634454,96977036,97197611
15863577,97197633,97383191
-15587521,97383214,97404133
13539487,97404151,97553551
-8208605,97553573,97567745
-30801783,97567762,97603288
-4854348,97603306,97613137
606069,97613155,97623937
48667409,97623959,98132572
-11780437,98132587,98150127
1736776,98150157,98174063
-48007942,98174080,98225863
25201066,98225869,98461572
4415089,98461590,98514604
33718606,98514626,98877058
-1863678,98877081,98881778
-61111920,98881790,98942481
31958487,98942487,99240866
-25612624,99240888,99271527
13249590,99271549,99407788
38851955,99407917,99807586
-20244299,99807602,99828857
1982907,99828866,99851377
23448158,99851387,100102671
-29722765,100102694,100137358
-15267323,100137399,100158224
15809564,100158246,100321309
24930716,100321331,100579206
-26405566,100579246,100610499
-18524492,100610508,100628060
7768411,100628069,100708171
18735305,100708194,100897028
18689818,100897051,101092351
666714,101092374,101105616
-25901916,101105627,101130830
29224520,101130839,101436960
-23009665,101436973,101465212
22639874,101465235,101706963
-37220039,101706986,101748308
7253051,101748325,101817753
24491598,101817770,102071726
-59365739,102071765,102133773
34405463,102133780,102456148
-8653187,102456172,102470685
-3971955,102470706,102479214
29976203,102479255,102780373
-49167278,102780395,102833066
9755179,102833072,102930411
44666911,102930429,103427196
-52903040,103427235,103489951
50097598,103489990,103998997
-47929210,103999020,104050509
39989119,104050526,104439634
-22327778,104439656,104467146
39335489,104467186,104894365
-20153678,104894387,104919927
-39834229,104919951,104963530
57202874,104963538,105546690
-34008972,105546712,105591783
28188660,105591807,105885054
8053023,105885077,105973031
-8397414,105973053,105987543
-16908119,105987566,106009820
-26199773,106009843,106040963
2716657,106040972,106066634
40428795,106066657,106493282
-34036172,106493304,106531948
35984366,106531971,106910432
-27888165,106910450,106942970
-4108262,106942979,106947337
4740275,106947360,106999289
13883917,106999311,107151678
-20147794,107151699,107179136
-19556985,107179159,107203700
29658219,107203706,107518754
-14765573,107518777,107539244
-6873922,107539266,107552448
-1836449,107552471,107557101
26880515,107557122,107824795
-19195984,107824819,107851844
16912779,107851866,108035792
22012663,108035804,108277515
-37006480,108277532,108319185
25733673,108319201,108578633
-42617045,108578643,108620287
62155817,108620295,109260191
-55058581,109260214,109319702
11926767,109319723,109443959
5186736,109443981,109498901
-25973093,109498919,109529451
41643694,109529457,109924411
-43118682,109924432,109971449
